num_personas,destino,origen,minuto_llegada
185,13,4,7
193,8,7,7
197,4,13,7
1,6,11,8
2,4,11,8
2,8,14,8
3,1,2,8
4,3,1,8
7,4,14,8
19,7,5,8
21,1,11,8
40,1,15,8
44,12,2,8
45,1,7,8
48,11,15,8
56,10,1,8
57,15,1,8
59,15,9,8
64,8,10,8
67,7,6,8
72,2,15,8
77,9,3,8
80,14,5,8
87,14,2,8
88,14,7,8
89,9,11,8
90,8,11,8
91,15,3,8
92,15,1,8
94,7,8,8
98,14,6,8
100,7,9,8
105,12,15,8
106,8,14,8
117,5,5,8
129,13,9,8
130,14,9,8
131,4,11,8
136,9,8,8
138,15,8,8
146,14,2,8
147,13,11,8
151,12,9,8
157,2,10,8
161,11,5,8
163,10,14,8
163,13,1,8
168,13,15,8
169,1,2,8
175,15,2,8
176,1,2,8
186,1,10,8
187,13,5,8
188,14,5,8
191,2,12,8
195,12,8,8
195,14,1,8
200,10,8,8
3,1,9,9
12,11,5,9
12,2,2,9
25,13,15,9
32,10,4,9
34,13,6,9
46,2,5,9
46,6,14,9
46,12,3,9
51,11,1,9
57,12,8,9
65,11,14,9
66,4,1,9
71,12,7,9
76,9,8,9
83,8,7,9
83,14,3,9
83,3,11,9
90,1,14,9
114,7,3,9
118,7,6,9
121,12,5,9
123,5,7,9
125,13,5,9
126,4,9,9
142,11,13,9
147,7,14,9
158,1,13,9
161,10,10,9
162,7,3,9
164,6,4,9
165,5,3,9
169,8,15,9
171,10,3,9
174,13,7,9
175,13,10,9
175,11,3,9
179,12,3,9
180,10,13,9
182,10,8,9
186,8,15,9
188,12,3,9
188,15,2,9
195,3,8,9
196,14,5,9
2,13,13,10
6,12,1,10
7,2,6,10
10,14,10,10
25,8,14,10
26,6,12,10
36,12,7,10
40,3,14,10
44,7,3,10
46,2,11,10
52,13,6,10
64,3,6,10
65,13,12,10
74,9,12,10
74,15,7,10
79,3,14,10
80,5,13,10
91,8,3,10
96,5,12,10
97,7,11,10
107,1,11,10
108,7,2,10
110,4,7,10
111,3,1,10
111,2,13,10
117,1,5,10
118,7,12,10
120,9,1,10
122,3,6,10
127,9,15,10
132,2,6,10
144,12,11,10
149,8,11,10
163,7,8,10
164,7,1,10
164,3,12,10
173,1,5,10
173,13,9,10
178,13,4,10
185,12,5,10
189,5,6,10
2,12,4,11
9,11,8,11
9,2,5,11
11,14,10,11
12,14,5,11
19,15,3,11
24,9,11,11
28,14,15,11
40,6,7,11
46,11,15,11
48,9,13,11
59,6,8,11
62,6,4,11
70,15,8,11
75,10,3,11
84,3,7,11
87,12,10,11
96,13,9,11
103,12,12,11
110,9,7,11
113,13,13,11
138,11,4,11
146,13,4,11
153,13,3,11
155,8,3,11
156,2,7,11
159,8,8,11
164,11,10,11
166,11,8,11
168,12,9,11
171,1,5,11
176,8,14,11
176,10,11,11
177,13,2,11
179,5,13,11
190,4,10,11
199,7,15,11
2,14,11,12
4,3,9,12
7,11,1,12
22,11,12,12
30,6,11,12
32,3,11,12
51,11,7,12
52,12,7,12
53,2,7,12
60,11,9,12
62,11,9,12
63,10,11,12
66,6,12,12
66,14,7,12
66,7,9,12
85,2,3,12
96,2,3,12
97,5,3,12
104,2,11,12
106,15,8,12
112,1,12,12
114,3,2,12
115,1,8,12
120,6,4,12
120,1,11,12
122,9,6,12
125,13,9,12
127,11,8,12
128,5,7,12
132,2,10,12
137,6,9,12
140,4,1,12
142,2,8,12
142,6,11,12
144,10,4,12
147,11,6,12
153,5,12,12
163,8,13,12
164,4,13,12
172,10,7,12
178,7,13,12
178,6,7,12
192,6,2,12
196,1,12,12
198,3,13,12
1,10,5,13
1,4,10,13
1,13,3,13
3,10,11,13
24,12,1,13
25,13,12,13
28,13,7,13
29,9,6,13
36,6,10,13
37,2,11,13
44,15,14,13
46,8,9,13
49,5,5,13
59,1,13,13
61,15,7,13
65,8,1,13
71,7,13,13
73,2,7,13
82,7,12,13
84,7,4,13
85,14,4,13
88,8,4,13
93,12,9,13
105,14,3,13
105,12,9,13
106,12,15,13
108,10,13,13
110,12,9,13
115,3,13,13
116,15,8,13
116,1,10,13
121,9,14,13
122,10,7,13
126,3,11,13
132,1,3,13
133,4,11,13
136,13,8,13
137,14,4,13
144,2,3,13
153,7,8,13
167,6,14,13
168,2,1,13
173,9,12,13
177,5,7,13
187,2,5,13
191,14,8,13
192,10,2,13
196,2,2,13
198,13,10,13
3,3,5,14
9,7,7,14
10,2,14,14
16,13,14,14
23,4,3,14
51,12,3,14
53,5,15,14
53,1,1,14
56,5,6,14
57,15,1,14
60,6,2,14
63,3,14,14
63,10,1,14
66,11,9,14
71,2,10,14
74,5,7,14
75,6,7,14
77,14,9,14
84,5,14,14
87,4,14,14
96,8,2,14
97,8,11,14
98,4,10,14
110,9,4,14
115,15,9,14
118,3,12,14
119,3,11,14
127,5,10,14
138,3,12,14
139,6,10,14
139,15,10,14
139,6,4,14
140,13,3,14
143,2,7,14
146,3,12,14
149,3,2,14
153,11,1,14
153,3,2,14
157,9,15,14
159,2,2,14
176,1,12,14
184,1,7,14
187,9,1,14
188,5,10,14
188,6,1,14
192,1,3,14
193,10,9,14
193,4,15,14
199,5,9,14
11,10,6,15
18,10,5,15
26,15,2,15
26,4,6,15
28,11,15,15
40,7,10,15
51,5,8,15
51,10,11,15
54,9,5,15
56,9,2,15
57,15,6,15
58,6,12,15
58,10,2,15
61,12,8,15
65,4,12,15
68,2,13,15
68,3,2,15
74,1,9,15
83,3,7,15
97,3,3,15
100,8,15,15
102,13,12,15
104,10,11,15
113,10,9,15
116,12,13,15
121,12,8,15
123,1,12,15
126,2,5,15
143,6,13,15
145,5,15,15
147,12,6,15
148,10,7,15
148,8,4,15
152,9,15,15
153,6,9,15
153,12,15,15
158,13,11,15
180,12,10,15
182,1,2,15
182,4,2,15
192,12,8,15
193,9,5,15
196,5,12,15
199,3,12,15
8,3,5,16
8,7,5,16
9,14,4,16
10,13,12,16
13,10,5,16
15,10,15,16
20,5,13,16
28,12,4,16
31,10,1,16
40,9,9,16
42,10,3,16
54,1,12,16
57,3,12,16
66,9,4,16
67,5,14,16
74,8,6,16
74,3,9,16
79,8,3,16
80,13,13,16
86,12,9,16
91,8,1,16
95,9,2,16
103,4,15,16
104,12,5,16
109,3,7,16
124,5,2,16
125,9,7,16
135,6,9,16
140,1,2,16
142,14,7,16
145,8,14,16
159,6,7,16
162,10,12,16
168,5,1,16
170,3,7,16
172,14,2,16
177,10,13,16
180,11,11,16
181,10,15,16
183,3,7,16
186,6,11,16
188,6,4,16
189,7,2,16
190,5,7,16
195,12,9,16
200,5,13,16
5,10,8,17
6,15,13,17
7,11,1,17
9,6,14,17
12,6,3,17
13,6,11,17
17,11,11,17
19,9,15,17
30,8,12,17
32,4,3,17
33,1,13,17
34,13,14,17
34,8,14,17
36,9,4,17
38,12,6,17
43,6,5,17
45,8,15,17
69,1,2,17
73,2,4,17
75,12,2,17
82,8,1,17
83,15,14,17
92,11,15,17
93,13,4,17
94,10,15,17
99,2,2,17
102,6,5,17
103,15,6,17
105,2,13,17
107,2,1,17
115,12,5,17
116,9,3,17
116,3,11,17
116,2,5,17
118,3,4,17
118,4,9,17
132,7,3,17
133,4,13,17
134,13,4,17
135,7,11,17
144,14,2,17
148,3,3,17
150,4,15,17
152,4,11,17
153,6,10,17
156,7,11,17
162,15,9,17
166,15,13,17
171,4,5,17
177,12,14,17
177,8,9,17
178,13,9,17
178,6,7,17
182,9,6,17
183,15,5,17
187,3,3,17
191,11,5,17
192,6,10,17
197,3,11,17
199,15,3,17
200,10,12,17
2,4,4,18
6,5,15,18
9,9,14,18
11,6,8,18
11,9,10,18
12,4,4,18
12,6,12,18
13,7,7,18
17,6,5,18
20,5,13,18
22,12,2,18
44,4,12,18
45,3,6,18
46,12,2,18
55,14,2,18
57,13,13,18
68,14,1,18
69,11,7,18
85,3,9,18
91,2,10,18
97,11,1,18
97,8,5,18
100,12,5,18
103,10,8,18
105,12,12,18
107,8,11,18
116,2,10,18
116,11,6,18
125,14,13,18
130,7,15,18
133,12,12,18
134,15,2,18
137,1,10,18
140,15,14,18
141,14,10,18
142,1,11,18
143,5,10,18
147,1,4,18
154,7,1,18
162,13,8,18
172,14,3,18
174,4,5,18
176,6,12,18
187,5,1,18
195,5,1,18
198,14,6,18
4,14,12,19
10,4,2,19
14,10,12,19
17,7,9,19
19,13,2,19
19,12,14,19
19,1,2,19
29,8,2,19
38,11,9,19
44,14,14,19
48,10,8,19
78,2,13,19
81,6,13,19
85,15,7,19
85,10,4,19
86,12,9,19
90,4,10,19
104,9,11,19
107,5,10,19
111,4,6,19
115,10,10,19
124,11,13,19
133,5,8,19
135,8,4,19
147,7,14,19
157,1,2,19
157,8,10,19
170,2,10,19
171,14,8,19
179,9,15,19
182,7,7,19
186,13,7,19
189,10,10,19
192,5,6,19
193,2,7,19
199,9,1,19
7,3,4,20
14,14,14,20
16,10,11,20
19,15,13,20
23,12,3,20
30,6,13,20
38,10,3,20
40,15,8,20
50,1,7,20
52,2,13,20
53,8,10,20
60,1,13,20
62,3,6,20
67,15,1,20
69,15,2,20
69,3,4,20
86,10,12,20
91,15,3,20
97,10,8,20
109,2,13,20
111,15,4,20
114,4,2,20
114,14,12,20
115,15,1,20
123,8,2,20
129,4,5,20
130,2,2,20
130,7,3,20
136,15,10,20
144,2,1,20
147,14,2,20
160,7,10,20
166,12,9,20
175,2,12,20
176,11,9,20
176,8,4,20
179,2,4,20
182,8,5,20
188,1,1,20
192,9,3,20
198,10,12,20
1,13,8,21
3,4,1,21
7,10,7,21
11,2,8,21
11,3,2,21
18,15,7,21
21,11,8,21
22,7,8,21
28,4,1,21
31,1,6,21
37,13,4,21
42,15,14,21
45,4,1,21
52,5,7,21
53,1,4,21
62,6,11,21
69,4,6,21
72,4,2,21
79,2,6,21
80,10,7,21
85,4,13,21
85,1,14,21
87,7,11,21
88,10,3,21
91,14,15,21
99,1,5,21
104,15,2,21
104,2,15,21
113,7,9,21
117,13,10,21
120,11,15,21
121,8,12,21
134,2,15,21
136,12,14,21
143,4,14,21
144,12,12,21
145,1,13,21
147,10,2,21
147,8,1,21
148,10,8,21
149,4,6,21
155,2,12,21
169,9,9,21
192,3,10,21
194,15,14,21
196,11,1,21
2,6,6,22
5,14,4,22
14,5,1,22
14,3,1,22
18,4,2,22
18,6,15,22
20,9,4,22
22,9,2,22
25,13,8,22
29,7,4,22
40,14,2,22
55,8,14,22
64,11,11,22
76,13,2,22
78,2,4,22
79,3,10,22
81,1,7,22
84,13,10,22
89,4,4,22
91,10,12,22
94,6,7,22
99,5,14,22
109,15,12,22
111,1,15,22
111,15,8,22
113,1,10,22
120,13,5,22
121,2,9,22
125,1,14,22
126,13,1,22
129,7,9,22
130,2,5,22
134,2,13,22
138,14,7,22
144,13,3,22
147,15,11,22
152,8,2,22
152,10,3,22
159,13,13,22
161,2,7,22
164,11,11,22
167,2,2,22
168,10,5,22
180,9,11,22
180,7,7,22
183,8,2,22
184,5,2,22
191,12,2,22
195,9,14,22
197,5,6,22
16,1,4,23
16,9,14,23
18,12,13,23
26,14,12,23
36,10,13,23
37,7,8,23
44,2,15,23
46,2,1,23
46,5,9,23
50,7,7,23
53,13,2,23
67,12,12,23
71,8,8,23
73,8,6,23
76,4,12,23
77,9,4,23
79,14,10,23
81,13,15,23
88,1,14,23
88,15,1,23
91,15,1,23
97,6,3,23
105,14,10,23
108,4,10,23
112,4,12,23
113,13,7,23
113,10,13,23
114,13,11,23
117,1,9,23
121,7,4,23
121,10,15,23
124,15,14,23
133,8,1,23
140,1,14,23
148,8,7,23
153,15,9,23
153,12,3,23
158,13,14,23
165,1,14,23
165,15,13,23
168,3,7,23
171,1,10,23
172,10,4,23
183,11,15,23
188,15,11,23
191,7,11,23
8,10,3,24
10,3,6,24
12,5,2,24
15,14,7,24
19,10,9,24
24,7,13,24
35,11,2,24
45,7,15,24
48,14,12,24
54,9,1,24
54,12,12,24
59,2,11,24
63,5,6,24
70,5,6,24
70,1,1,24
73,15,5,24
78,12,12,24
83,3,12,24
92,1,9,24
95,11,13,24
97,2,15,24
104,12,6,24
120,1,2,24
120,1,5,24
123,6,10,24
125,10,11,24
127,6,7,24
128,11,15,24
130,10,11,24
131,9,5,24
132,9,3,24
136,9,6,24
141,4,9,24
146,14,1,24
147,14,13,24
153,14,6,24
169,4,5,24
172,11,9,24
173,12,15,24
175,13,2,24
177,3,3,24
182,1,2,24
186,4,15,24
186,1,10,24
2,8,15,25
10,15,3,25
12,1,10,25
15,1,13,25
18,4,9,25
22,6,14,25
22,1,2,25
26,8,15,25
41,1,2,25
43,4,15,25
56,6,14,25
56,7,15,25
61,12,13,25
63,15,10,25
66,13,2,25
66,6,4,25
74,7,12,25
75,15,14,25
88,12,15,25
91,10,5,25
91,15,15,25
93,4,12,25
95,2,11,25
98,14,5,25
99,4,5,25
105,15,14,25
105,9,8,25
107,7,7,25
107,10,9,25
114,6,2,25
116,1,15,25
121,12,14,25
127,13,2,25
131,14,12,25
146,8,4,25
148,10,2,25
153,15,5,25
154,14,1,25
154,5,12,25
155,3,9,25
162,15,15,25
170,6,6,25
176,9,15,25
191,3,7,25
191,9,14,25
191,1,12,25
194,14,12,25
198,11,8,25
1,8,12,26
2,4,12,26
2,5,4,26
3,14,7,26
6,14,2,26
13,7,14,26
28,12,11,26
30,12,6,26
31,5,7,26
33,8,12,26
35,2,9,26
40,9,10,26
42,10,5,26
44,8,6,26
47,15,3,26
48,9,3,26
56,5,12,26
63,6,8,26
70,12,5,26
78,14,14,26
79,3,1,26
82,4,6,26
83,9,4,26
86,11,1,26
86,7,9,26
87,6,6,26
88,12,13,26
89,9,9,26
97,1,7,26
108,5,2,26
109,13,9,26
115,10,14,26
117,13,11,26
118,8,15,26
128,2,13,26
128,9,3,26
129,11,4,26
132,4,7,26
133,5,3,26
134,14,9,26
135,5,13,26
143,13,15,26
146,15,8,26
148,1,2,26
148,14,13,26
151,1,7,26
153,1,8,26
156,1,15,26
157,7,14,26
157,12,5,26
157,6,14,26
159,6,7,26
160,15,15,26
162,6,5,26
164,11,2,26
167,15,11,26
168,13,2,26
175,1,7,26
177,1,6,26
178,5,8,26
189,8,1,26
198,13,7,26
6,15,12,27
14,10,5,27
14,2,4,27
20,11,13,27
21,14,11,27
23,14,14,27
25,4,1,27
28,4,12,27
28,12,10,27
32,6,8,27
33,1,15,27
36,2,7,27
41,7,7,27
43,7,8,27
49,10,1,27
49,2,1,27
57,1,10,27
57,5,4,27
68,2,13,27
71,10,11,27
71,9,10,27
72,14,7,27
73,6,3,27
74,3,15,27
75,13,6,27
77,9,8,27
78,12,13,27
81,11,7,27
86,14,8,27
86,7,14,27
86,8,11,27
89,11,4,27
106,9,1,27
108,11,6,27
109,2,11,27
111,4,2,27
116,2,1,27
117,6,10,27
132,10,8,27
137,5,5,27
139,12,3,27
141,4,12,27
149,10,3,27
152,10,1,27
159,14,7,27
164,12,1,27
171,4,4,27
173,14,5,27
174,8,2,27
180,6,2,27
20,3,8,28
20,11,7,28
21,14,7,28
23,13,11,28
30,9,12,28
47,15,8,28
49,8,15,28
54,10,9,28
65,6,11,28
77,12,1,28
81,10,13,28
91,11,13,28
93,5,15,28
94,7,7,28
96,5,6,28
100,4,12,28
104,2,6,28
105,6,4,28
118,4,15,28
120,4,7,28
122,11,2,28
123,1,11,28
124,1,8,28
132,2,2,28
141,13,12,28
149,3,8,28
149,3,4,28
150,12,10,28
154,13,6,28
156,4,7,28
163,11,10,28
173,11,1,28
173,6,7,28
175,1,13,28
189,12,10,28
193,12,3,28
197,12,3,28
2,15,10,29
5,11,4,29
5,14,12,29
23,15,7,29
24,13,1,29
24,10,14,29
27,6,2,29
27,15,2,29
38,5,9,29
49,6,12,29
49,12,2,29
51,4,2,29
52,13,5,29
55,2,14,29
57,13,5,29
61,5,1,29
74,5,4,29
78,3,4,29
80,1,11,29
84,3,8,29
90,3,6,29
95,3,11,29
96,1,5,29
101,10,5,29
107,9,4,29
108,14,3,29
108,9,11,29
110,13,6,29
115,11,12,29
116,2,10,29
120,4,7,29
122,10,13,29
125,11,13,29
137,14,11,29
137,1,9,29
142,7,1,29
144,4,6,29
146,13,4,29
146,3,11,29
148,2,5,29
151,11,3,29
151,10,9,29
151,3,3,29
156,4,11,29
158,5,1,29
159,7,3,29
162,8,12,29
162,13,11,29
166,7,1,29
181,1,12,29
186,14,5,29
187,6,9,29
187,4,3,29
188,13,11,29
188,1,9,29
194,13,8,29
197,2,6,29
197,14,14,29
3,12,10,30
5,7,13,30
9,9,4,30
13,9,9,30
15,14,13,30
19,15,1,30
40,12,15,30
43,9,1,30
43,12,14,30
52,10,1,30
53,12,14,30
54,14,12,30
57,1,10,30
59,10,12,30
61,1,5,30
61,7,9,30
65,9,10,30
65,3,10,30
66,7,12,30
71,15,15,30
74,4,10,30
83,6,9,30
83,15,4,30
84,12,15,30
90,2,2,30
93,1,11,30
94,10,5,30
107,12,7,30
108,1,10,30
108,14,5,30
112,6,9,30
113,7,14,30
117,1,6,30
122,8,3,30
123,5,3,30
123,1,6,30
126,14,10,30
129,7,5,30
136,13,4,30
136,13,15,30
145,6,11,30
148,2,9,30
149,12,7,30
149,5,15,30
155,5,6,30
157,6,2,30
158,1,3,30
159,9,13,30
165,6,1,30
174,7,6,30
177,5,15,30
181,2,7,30
183,13,9,30
188,7,1,30
189,9,3,30
189,13,11,30
190,1,4,30
191,4,5,30
195,13,3,30
1,12,7,31
3,14,8,31
9,4,13,31
13,14,15,31
15,10,8,31
22,1,4,31
22,10,1,31
23,14,8,31
24,7,4,31
29,2,11,31
30,14,10,31
32,3,14,31
32,2,3,31
45,1,13,31
46,1,3,31
52,3,3,31
53,8,5,31
54,9,9,31
55,10,7,31
55,13,12,31
60,7,1,31
61,9,7,31
68,8,7,31
78,12,13,31
80,8,2,31
88,14,7,31
91,7,8,31
92,15,8,31
94,15,7,31
94,4,15,31
98,2,12,31
101,14,9,31
101,7,14,31
103,12,10,31
104,12,3,31
108,7,8,31
108,6,11,31
109,4,5,31
114,8,9,31
115,7,15,31
120,4,15,31
124,8,8,31
125,12,1,31
131,1,14,31
134,1,3,31
135,13,13,31
138,13,4,31
139,10,6,31
139,3,3,31
140,6,9,31
149,4,10,31
150,4,6,31
156,4,11,31
157,14,9,31
160,10,12,31
163,2,4,31
172,4,9,31
176,8,7,31
182,6,11,31
184,10,1,31
189,6,10,31
193,9,13,31
195,14,7,31
196,5,4,31
200,13,12,31
1,5,4,32
7,4,7,32
7,12,2,32
9,5,13,32
24,1,3,32
24,4,7,32
30,6,4,32
30,2,4,32
32,6,5,32
32,9,11,32
33,8,15,32
33,13,5,32
33,1,5,32
34,10,8,32
35,13,10,32
38,15,9,32
39,3,2,32
41,7,10,32
47,10,6,32
53,6,12,32
53,13,6,32
60,10,14,32
62,9,11,32
63,12,15,32
66,2,9,32
68,11,11,32
77,14,15,32
81,5,10,32
83,15,11,32
88,11,2,32
91,5,15,32
98,11,6,32
99,6,10,32
101,2,9,32
104,11,7,32
107,2,12,32
120,5,3,32
126,14,2,32
130,10,8,32
138,12,4,32
139,15,7,32
139,2,5,32
147,14,1,32
150,9,13,32
155,11,12,32
155,1,3,32
156,7,12,32
162,10,3,32
162,1,9,32
167,12,3,32
167,13,5,32
168,15,11,32
169,12,12,32
172,13,3,32
172,6,14,32
176,13,8,32
177,10,15,32
177,15,11,32
183,15,14,32
185,2,12,32
186,13,12,32
188,3,14,32
189,13,8,32
194,5,14,32
1,6,4,33
3,6,7,33
6,15,9,33
17,12,11,33
17,5,5,33
21,2,1,33
23,3,4,33
33,8,8,33
38,11,9,33
40,4,4,33
52,1,14,33
52,12,6,33
55,1,3,33
57,8,8,33
59,5,11,33
69,3,14,33
70,11,3,33
73,4,4,33
76,13,8,33
79,4,6,33
80,13,1,33
86,12,8,33
97,14,14,33
103,10,13,33
109,3,1,33
110,8,8,33
115,8,1,33
118,8,10,33
119,6,15,33
125,7,15,33
126,8,2,33
129,11,3,33
139,13,6,33
144,9,6,33
153,2,11,33
159,4,11,33
165,7,7,33
167,2,12,33
169,5,10,33
172,14,12,33
175,9,10,33
176,4,5,33
180,2,6,33
186,13,7,33
188,2,9,33
194,5,5,33
196,10,12,33
197,11,1,33
199,4,6,33
199,15,5,33
5,14,10,34
6,8,11,34
15,8,14,34
18,3,3,34
18,13,15,34
24,1,9,34
37,5,11,34
39,4,12,34
42,13,6,34
45,2,15,34
49,2,1,34
50,3,1,34
50,11,12,34
51,12,3,34
57,7,5,34
58,3,14,34
60,15,3,34
67,7,13,34
74,8,14,34
77,12,11,34
79,13,14,34
80,14,2,34
88,10,7,34
98,1,8,34
102,4,6,34
107,11,10,34
110,11,15,34
115,11,5,34
117,10,7,34
118,15,1,34
119,2,13,34
120,10,13,34
127,2,14,34
129,10,3,34
129,8,2,34
145,14,7,34
149,6,9,34
150,6,14,34
155,2,1,34
158,3,6,34
164,8,2,34
165,4,5,34
166,3,7,34
168,8,14,34
171,3,7,34
174,5,2,34
177,14,5,34
177,3,3,34
180,9,9,34
183,11,10,34
183,4,10,34
186,11,9,34
196,5,13,34
198,13,13,34
199,4,9,34
13,5,13,35
14,12,5,35
14,8,2,35
15,9,7,35
17,8,8,35
21,1,6,35
21,13,15,35
23,7,7,35
24,2,7,35
26,10,9,35
27,14,5,35
34,3,8,35
34,5,7,35
35,11,14,35
39,1,14,35
49,8,9,35
56,14,9,35
57,8,8,35
69,7,7,35
71,10,4,35
80,4,2,35
89,1,9,35
91,3,5,35
92,11,14,35
99,8,7,35
100,10,15,35
105,8,15,35
106,6,4,35
106,10,7,35
107,12,9,35
107,11,1,35
108,13,12,35
118,12,8,35
119,3,4,35
121,9,10,35
